freq;iccs;unit;geo\TIME_PERIOD,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 
A;ICCS0101;P_HTHAB;CH,0.71 ,0.66 ,0.68 ,0.58 ,0.57 ,0.71 ,0.50 ,0.69 ,0.54 ,0.53 ,0.59 
A;ICCS0101;P_HTHAB;CY,1.16 ,2.38 ,0.85 ,0.95 ,2.20 ,1.27 ,1.17 ,1.42 ,1.30 ,0.82 ,1.62 
A;ICCS0101;P_HTHAB;CZ,1.09 ,1.01 ,1.00 ,0.79 ,0.90 ,0.86 ,0.77 ,0.84 ,0.62 ,0.38 ,0.52 
A;ICCS0101;P_HTHAB;DE,0.80 ,0.88 ,0.85 ,0.86 ,0.77 ,0.77 ,0.80 ,0.81 ,0.91 ,0.89 ,0.76 
A;ICCS0101;P_HTHAB;DK,0.96 ,1.01 ,0.89 ,0.88 ,0.77 ,0.73 ,1.10 ,0.92 ,0.93 ,1.06 ,0.93 
A;ICCS0101;P_HTHAB;EE,6.28 ,5.24 ,5.25 ,4.89 ,4.75 ,3.94 ,3.12 ,3.80 ,2.51 ,2.20 ,1.90 
A;ICCS0101;P_HTHAB;EL,1.29 ,1.36 ,1.58 ,1.65 ,1.49 ,1.28 ,0.96 ,0.79 ,0.75 ,0.72 ,0.88 
A;ICCS0101;P_HTHAB;ES,0.89 ,0.89 ,0.86 ,0.82 ,0.78 ,0.65 ,0.69 ,0.65 ,0.63 ,0.66 ,0.62 
A;ICCS0101;P_HTHAB;FI,2.51 ,2.25 ,2.22 ,2.05 ,1.63 ,1.64 ,1.61 ,1.50 ,1.35 ,1.24 ,1.63 
A;ICCS0101;P_HTHAB;FR,1.52 ,1.25 ,1.23 ,1.35 ,1.25 ,1.22 ,1.16 ,1.55 ,1.33 ,1.22 ,1.16 
A;ICCS0101;P_HTHAB;HR,1.65 ,1.14 ,1.44 ,1.14 ,1.19 ,1.08 ,0.85 ,0.88 ,1.05 ,1.11 ,0.58 
A;ICCS0101;P_HTHAB;HU,1.46 ,1.39 ,1.33 ,1.42 ,1.14 ,1.39 ,1.31 ,2.05 ,0.93 ,0.87 ,0.85 
A;ICCS0101;P_HTHAB;IE,1.14 ,1.17 ,1.21 ,0.92 ,1.13 ,1.11 ,1.15 ,0.64 ,0.74 ,0.88 ,0.87 
A;ICCS0101;P_HTHAB;IS,0.00 ,0.31 ,0.63 ,0.94 ,0.31 ,0.31 ,0.61 ,0.91 ,0.30 ,0.89 ,0.57 
A;ICCS0101;P_HTHAB;IT,1.05 ,1.00 ,0.89 ,0.93 ,0.89 ,0.85 ,0.80 ,0.77 ,0.67 ,0.61 ,0.57 
A;ICCS0101;P_HTHAB;LI,2.83 ,0.00 ,2.79 ,0.00 ,0.00 ,0.00 ,2.69 ,0.00 ,0.00 ,2.64 ,2.62 
A;ICCS0101;P_HTHAB;LT,8.90 ,7.54 ,6.33 ,6.19 ,6.03 ,5.79 ,5.27 ,5.75 ,4.92 ,3.97 ,3.45 
A;ICCS0101;P_HTHAB;LU,1.45 ,1.01 ,1.59 ,0.78 ,0.57 ,0.37 ,0.73 ,0.89 ,0.87 ,0.34 ,0.50 
A;ICCS0101;P_HTHAB;LV,4.52 ,4.99 ,3.30 ,3.33 ,4.74 ,3.41 ,3.85 ,4.08 ,5.64 ,5.59 ,5.22 
A;ICCS0101;P_HTHAB;ME,3.57 ,1.62 ,2.10 ,3.07 ,2.42 ,1.45 ,3.06 ,2.73 ,3.86 ,1.77 ,2.09 
A;ICCS0101;P_HTHAB;MK,1.71 ,1.71 ,1.90 ,1.31 ,1.36 ,0.97 ,1.21 ,1.01 ,0.82 ,1.21 ,: 
A;ICCS0101;P_HTHAB;MT,1.47 ,0.97 ,0.97 ,0.72 ,2.39 ,1.42 ,1.41 ,0.93 ,1.11 ,1.96 ,1.26 
A;ICCS0101;P_HTHAB;NL,0.91 ,0.93 ,: ,: ,: ,0.88 ,0.86 ,0.71 ,0.64 ,0.92 ,0.69 
A;ICCS0101;P_HTHAB;NO,0.72 ,0.60 ,0.60 ,2.26 ,0.54 ,0.93 ,0.57 ,0.46 ,0.52 ,0.53 ,0.47 
A;ICCS0101;P_HTHAB;PL,1.21 ,1.29 ,1.15 ,1.18 ,0.99 ,0.78 ,0.74 ,0.76 ,0.67 ,0.73 ,0.70 
A;ICCS0101;P_HTHAB;PT,1.17 ,1.23 ,1.17 ,1.08 ,1.16 ,1.37 ,0.88 ,0.96 ,0.64 ,0.74 ,0.79 
A;ICCS0101;P_HTHAB;RO,2.28 ,1.94 ,1.88 ,1.56 ,1.88 ,1.68 ,1.49 ,1.46 ,1.25 ,1.30 ,1.37 
A;ICCS0101;P_HTHAB;RS,1.74 ,1.85 ,1.56 ,1.57 ,1.44 ,1.84 ,1.60 ,1.35 ,1.50 ,1.12 ,1.49 
A;ICCS0101;P_HTHAB;SE,0.89 ,1.00 ,0.97 ,0.86 ,0.72 ,0.91 ,0.90 ,1.15 ,1.08 ,1.13 ,1.07 
